"","Strain","Media","OD","Replicate","Mean_OD600","SD_OD600","SE_OD600"
"1","WT","SM",1.528,"R1",1.52033333333333,0.0068068592855541,0.00392994204085056
"2","WT","SM",1.515,"R2",1.52033333333333,0.0068068592855541,0.00392994204085056
"3","WT","SM",1.518,"R3",1.52033333333333,0.0068068592855541,0.00392994204085056
"4","WT","SM+Ind",1.516,"R1",1.498,0.021633307652784,0.0124899959967968
"5","WT","SM+Ind",1.474,"R2",1.498,0.021633307652784,0.0124899959967968
"6","WT","SM+Ind",1.504,"R3",1.498,0.021633307652784,0.0124899959967968
"7","WT","SM+Trp",1.402,"R1",1.44,0.0525737577123797,0.0303534731675526
"8","WT","SM+Trp",1.418,"R2",1.44,0.0525737577123797,0.0303534731675526
"9","WT","SM+Trp",1.5,"R3",1.44,0.0525737577123797,0.0303534731675526
"10","WT","SM+Ant",1.493,"R1",1.49866666666667,0.0060277137733416,0.00348010216963679
"11","WT","SM+Ant",1.498,"R2",1.49866666666667,0.0060277137733416,0.00348010216963679
"12","WT","SM+Ant",1.505,"R3",1.49866666666667,0.0060277137733416,0.00348010216963679
"13","TRP2+TRP4+1:1","SM",1.074,"R1",1.08533333333333,0.0441059330853948,0.0254645723397123
"14","TRP2+TRP4+1:1","SM",1.048,"R2",1.08533333333333,0.0441059330853948,0.0254645723397123
"15","TRP2+TRP4+1:1","SM",1.134,"R3",1.08533333333333,0.0441059330853948,0.0254645723397123
"16","TRP2+TRP4+1:2","SM",1.039,"R1",1.02433333333333,0.037233497463082,0.0214967697831816
"17","TRP2+TRP4+1:2","SM",1.052,"R2",1.02433333333333,0.037233497463082,0.0214967697831816
"18","TRP2+TRP4+1:2","SM",0.982,"R3",1.02433333333333,0.037233497463082,0.0214967697831816
"19","TRP2+TRP4+1:5","SM",0.655,"R1",0.641333333333333,0.0281128677536344,0.0162309717652531
"20","TRP2+TRP4+1:5","SM",0.66,"R2",0.641333333333333,0.0281128677536344,0.0162309717652531
"21","TRP2+TRP4+1:5","SM",0.609,"R3",0.641333333333333,0.0281128677536344,0.0162309717652531
"22","TRP2+TRP4+2:1","SM",1.022,"R1",0.950333333333333,0.0769566977808516,0.0444309701797194
"23","TRP2+TRP4+2:1","SM",0.96,"R2",0.950333333333333,0.0769566977808516,0.0444309701797194
"24","TRP2+TRP4+2:1","SM",0.869,"R3",0.950333333333333,0.0769566977808516,0.0444309701797194
"25","TRP2+TRP4+5:1","SM",0.889,"R1",0.687,0.175039995429616,0.10105938848024
"26","TRP2+TRP4+5:1","SM",0.592,"R2",0.687,0.175039995429616,0.10105938848024
"27","TRP2+TRP4+5:1","SM",0.58,"R3",0.687,0.175039995429616,0.10105938848024
"28","TRP2","SM",0.257,"R1",0.257333333333333,0.0045092497528229,0.00260341655863555
"29","TRP2","SM",0.262,"R2",0.257333333333333,0.0045092497528229,0.00260341655863555
"30","TRP2","SM",0.253,"R3",0.257333333333333,0.0045092497528229,0.00260341655863555
"31","TRP2","SM+Ant",1.333,"R1",1.33833333333333,0.00550757054728616,0.00317979733805652
"32","TRP2","SM+Ant",1.338,"R2",1.33833333333333,0.00550757054728616,0.00317979733805652
"33","TRP2","SM+Ant",1.344,"R3",1.33833333333333,0.00550757054728616,0.00317979733805652
"34","TRP2","SM+Ind",1.199,"R1",1.17366666666667,0.0227449628123093,0.0131318104023948
"35","TRP2","SM+Ind",1.155,"R2",1.17366666666667,0.0227449628123093,0.0131318104023948
"36","TRP2","SM+Ind",1.167,"R3",1.17366666666667,0.0227449628123093,0.0131318104023948
"37","TRP2","SM+Trp",1.352,"R1",1.35633333333333,0.00404145188432737,0.00233333333333333
"38","TRP2","SM+Trp",1.36,"R2",1.35633333333333,0.00404145188432737,0.00233333333333333
"39","TRP2","SM+Trp",1.357,"R3",1.35633333333333,0.00404145188432737,0.00233333333333333
"40","TRP4","SM",0.369,"R1",0.363333333333333,0.0162583311976763,0.00938675189355249
"41","TRP4","SM",0.376,"R2",0.363333333333333,0.0162583311976763,0.00938675189355249
"42","TRP4","SM",0.345,"R3",0.363333333333333,0.0162583311976763,0.00938675189355249
"43","TRP4","SM+Ant",0.36,"R1",0.359333333333333,0.00802080627701065,0.00463081466314994
"44","TRP4","SM+Ant",0.351,"R2",0.359333333333333,0.00802080627701065,0.00463081466314994
"45","TRP4","SM+Ant",0.367,"R3",0.359333333333333,0.00802080627701065,0.00463081466314994
"46","TRP4","SM+Ind",1.256,"R1",1.26833333333333,0.0112398102000582,0.00648930744464393
"47","TRP4","SM+Ind",1.278,"R2",1.26833333333333,0.0112398102000582,0.00648930744464393
"48","TRP4","SM+Ind",1.271,"R3",1.26833333333333,0.0112398102000582,0.00648930744464393
"49","TRP4","SM+Trp",1.541,"R1",1.53833333333333,0.00929157324317756,0.00536449231314369
"50","TRP4","SM+Trp",1.546,"R2",1.53833333333333,0.00929157324317756,0.00536449231314369
"51","TRP4","SM+Trp",1.528,"R3",1.53833333333333,0.00929157324317756,0.00536449231314369
